displacement_mm,force_kN
0.0,-4.260705
0.2032,0.558157425
0.254,2.573621749
0.2794,4.232659421
0.3302,6.990547144
0.3556,8.832172391
0.4572,12.96044596
0.4826,14.70864747
0.5334,17.56010961
0.6096,20.49161475
0.6604,23.53020768
0.7366,25.99451139
0.8128,30.2295392
0.8509,32.06433086
0.9525,36.56206359
1.0795,40.4861302
1.1176,43.8110514
1.1811,46.10042338
1.2319,47.09278071
1.2827,49.7567576
1.3462,52.23703496
1.397,54.43399322
1.4605,57.92944358
1.5621,61.30989493
1.6383,64.70777603
1.7272,68.09653532
1.8034,71.39854166
1.8796,73.49441714
1.9304,74.30396444
1.9685,76.14319248
2.0193,78.89993533
2.032,78.52159985
2.0193,77.22869381
1.9939,75.20135875
1.9431,72.81246418
1.8796,68.57406784
1.778,63.70807588
1.7145,59.19093248
1.6129,53.67448475
1.5113,49.45885516
1.397,43.94427983
1.2827,38.89725104
1.2192,35.49516927
1.1049,30.26243646
1.0287,27.33000714
0.9271,21.44450452
0.8255,17.78459718
0.7366,13.92890688
0.6477,9.148829944
0.5461,5.670339236
0.4572,0.703310394
0.3556,-4.163154069
0.2667,-6.901830193
0.2032,-11.23231869
0.127,-14.2572658
0.0635,-18.30743994
-0.0254,-21.32606537
-0.1016,-25.5564064
-0.2286,-31.15290202
-0.3302,-35.37461578
-0.4445,-41.44010116
-0.5842,-47.7723854
-0.7366,-54.56525228
-0.8636,-60.44195641
-0.9652,-64.37945269
-1.0922,-70.44199115
-1.2319,-76.77539571
-1.397,-83.37387572
-1.5494,-86.63565443
-1.6637,-89.9219522
-1.7272,-90.90776282
-1.7018,-90.8218638
-1.7272,-91.28178422
-1.7399,-91.55208993
-1.7653,-92.84105549
-1.8034,-93.65804345
-1.8161,-94.02135083
-1.8669,-95.93596844
-1.9177,-97.2166661
-1.9304,-97.39610493
-1.9431,-97.11139822
-1.9177,-95.07982914
-1.9177,-93.96795414
-1.8542,-91.31103543
-1.8161,-89.19306922
-1.7526,-85.78852131
-1.7272,-83.29873965
-1.6637,-80.26601609
-1.5494,-74.66532826
-1.4859,-70.60992431
-1.397,-65.64292073
-1.27,-60.13898826
-1.2192,-57.56504211
-1.1303,-53.98914537
-1.1049,-50.84893907
-0.9652,-45.62867261
-0.8382,-40.40166595
-0.6985,-32.49003355
-0.5969,-29.01593831
-0.4572,-23.51915787
-0.3048,-17.37545653
-0.2286,-14.91106431
-0.1651,-10.48678427
-0.0635,-6.73198506
0.0,-4.260705
0.0635,-0.855410135
0.1524,2.905824871
0.2286,5.926509899
0.3429,10.32386745
0.4572,14.81511173
0.5969,21.70364967
0.6604,24.36633991
0.7874,29.12598725
0.889,32.41453279
0.9779,36.36084758
1.0795,41.50620124
1.1557,44.53447197
1.2319,46.9064527
1.3208,51.04109776
1.397,53.87981248
1.4859,56.71036604
1.5494,59.18338062
1.6383,63.68629202
1.7145,66.2448854
1.778,69.27634588
1.8542,71.93259302
1.8415,73.23754733
1.8923,74.69761711
1.9304,75.0479111
1.9431,74.57664956
1.9812,76.41365385
1.9685,75.95689115
1.9685,75.58206475
1.9304,73.55977316
1.8669,68.58247806
1.7907,65.74339865
1.6891,60.59690286
1.6129,56.08645295
1.5113,51.31327586
1.3716,44.60613899
1.2827,40.20101165
1.1938,37.08770561
1.0922,31.6604774
0.9525,26.07172933
0.8382,19.91203612
0.6985,14.97194748
0.5842,9.92416084
0.4826,5.889679262
